Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:12.A1,"urn:cite:hmt:vaimg.VA154VN-0656@0.5391,0.2128,0.0441,0.012",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A2,"urn:cite:hmt:vaimg.VA154VN-0656@0.6256,0.2164,0.0641,0.0143",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A3,"urn:cite:hmt:vaimg.VA154VN-0656@0.6767,0.2585,0.048,0.0105",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A4,"urn:cite:hmt:vaimg.VA154VN-0656@0.5461,0.2752,0.0411,0.0113",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A5,"urn:cite:hmt:vaimg.VA154VN-0656@0.6286,0.2765,0.039,0.0113",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A6,"urn:cite:hmt:vaimg.VA154VN-0656@0.7487,0.3373,0.043,0.0068",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A7,"urn:cite:hmt:vaimg.VA154VN-0656@0.6333,0.3519,0.0421,0.0135",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A8,"urn:cite:hmt:vaimg.VA154VN-0656@0.7748,0.3546,0.029,0.0083",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A9,"urn:cite:hmt:vaimg.VA154VN-0656@0.8338,0.3734,0.0751,0.0135",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A10,"urn:cite:hmt:vaimg.VA154VN-0656@0.5361,0.4293,0.0441,0.009",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A11,"urn:cite:hmt:vaimg.VA154VN-0656@0.7998,0.4313,0.03,0.012",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A12,"",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A13,"",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msAil.hmt:12.A14,"",urn:cite:hmt:msA.154v
